Component Type,API Name Format,Sheet Value
ApexClass,Classname,Component_API_Name
ApexComponent,Componentname,Component_API_Name
ApexPage,Pagename,Component_API_Name
ApexTrigger,Triggername,Component_API_Name
ApprovalProcess,Object_api_name.Approvaprocess_API_Name,Object_API_Name.Component_API_Name
AssignmentRules,Object_api_name.Rule name,Object_API_Name.Component_API_Name
CustomApplication,App_Api_Name,Component_API_Name
CustomField,Object_api_name.Customfield_api_name,Object_API_Name.Component_API_Name
CustomLabel,Lable name,Component_API_Name
CustomMetadata,Metadata_object_apiname.Metadataname,Object_API_Name.Component_API_Name
CustomObject,API_Name,Component_API_Name
CustomPageWebLink,API_Name,Component_API_Name
CustomPermission,API_Name,Component_API_Name
CustomTab,API_Name,Component_API_Name
Dashboard,API_Name,Component_API_Name
Document,folder_api_name/document_api_name,Object_API_Name/Component_API_Name
EmailTemplate,folder_api_name/template_api_name,Object_API_Name/Component_API_Name
FieldSet,Object_api_name.fieldset_api_name,Object_API_Name.Component_API_Name
Flow,API_Name,Component_API_Name
Folder,API_Name,Component_API_Name
GlobalValueSet,API_Name,Component_API_Name
Group,API_Name,Component_API_Name
HomePageComponent,Component_name,Component_API_Name
HomePageLayout,Layout_name,Component_API_Name
Layout,Object_api_name-Layoutname,Object_API_Name-Component_API_Name
Letterhead,Letterhead_name,Component_API_Name
ListView,Object_api_name.Listview_api_name,Object_API_Name.Component_API_Name
NamedCredential,Name,Component_API_Name
PermissionSet,API_Name,Component_API_Name
Profile,API_Name,Component_API_Name
Queue,API_Name,Component_API_Name
RecordType,Object_api_name.Recordtype_api_name,Object_API_Name.Component_API_Name
RemoteSiteSetting,API_Name,Component_API_Name
Report,folder_api_name/report_api_name,Object_API_Name/Component_API_Name
ReportType,API_Name,Component_API_Name
Role,API_Name,Component_API_Name
SharingRules,Object_api_name.Rule name,Object_API_Name.Component_API_Name
StaticResource,Name,Component_API_Name
Translations,"API name of customlabel, Custom field where you want to migrate translation",Component_API_Name
ValidationRule,Object_api_name.Validation_rule_api_name,Object_API_Name.Component_API_Name
WorkflowAlert,Object_api_name.api_name,Object_API_Name.Component_API_Name
WorkflowFieldUpdate,Object_api_name.api_name,Object_API_Name.Component_API_Name
WorkflowRule,Object_api_name.Rule name,Object_API_Name.Component_API_Name
